Department,Malicious Word,Phrase,Flag
Security,gifts,gifts,1
HR,directing,or directing,1
Security,authorize,authorize the,1
Legal,order,in order,1
Government Relations,agents,directors employees personnel agents intermediaries joint venture partners subcontractors consultants and any,1
Legal,payment,payment,1
Legal,regular,regular,1
Safety,procedure,procedure,1
Legal,act,act,1
Security,ing,retain ing,1
Security,officers,parson s officers,1
Safety,antibriber,antibriber y,1
Government Relations,foreign,to foreign political,1
Security,influence,use their influence with,1
Legal,approved,approved through,1
Legal,including,including,1
Government Relations,engage,not engage in suspicious transactions,1
HR,employee,or employee,1
Legal,offer,not offer pay solicit,1
Ethics and Compliance,compliance,compliance,1
Safety,rendered,rendered,1
Security,advantage,others or obtain any improper advantage for the purpose of assisting parsons in,1
Security,approach,approach,1
Security,customer,customer,1
Ethics and Compliance,bribery,participate in bribery moneylaundering,1
HR,hospitality,hospitality travel,1
HR,parsons,parsons policy procedure,1
Security,activity,related to moneylaundering or other criminal activity,1
Security,accept,accept anything,1
Legal,version,version,1
Legal,business,business,1
Government Relations,government,government official,1
Safety,accordingly,accordingly all,1
Safety,anticor,anticor rup tion,1
Security,described,described,1
Security,value,value,1
Legal,international,threaten national and international,1
Government Relations,candidates,candidates for foreign political office,1
HR,behalf,on behalf,1
HR,fcpa,"the "" fcpa "" the",1
HR,andor,favor s andor,1
Legal,publicly,publicly traded,1
Legal,origins,origins,1
Government Relations,officials,parties their officials and,1
Security,parson,parson s shall,1
Security,trust,violate the ' s trust,1
Legal,circumstances,any circumstances,1
Legal,entertain,entertain ment from a,1
Security,activities,activities in,1
Security,obtaining,obtaining,1
Legal,pay,pay,1
Government Relations,countries,countries,1
Legal,way,way,1
Legal,illegally,of any illegally,1
Legal,prohibition,prohibition,1
Legal,available,document is available and maintained on,1
Government Relations,indirectly,or indirectly,1
Legal,invoice,invoice d,1
Government Relations,parties,parties,1
HR,operates,in which it operates and usc § § and,1
Security,bribe,bribe s and will,1
Legal,party,third party,1
HR,employees,parson s employees,1
Ethics and Compliance,accordance,accordance,1
Legal,directly,directly,1
Security,undermine,undermine,1
Safety,policy,policy,1
Legal,criminal,criminal,1
Legal,refrain,or refrain from,1
Legal,violation,in violation,1
Legal,laws,laws,1
Security,money,obtained money,1
Legal,induce,official induce,1
Security,additionally,lobby ing and gifts policy additionally third,1
Security,code,code of conduct conflicts of interest policy,1
Legal,vetted,vetted,1
HR,company,for under a contract for company work,1
HR,agent,vendor supplier subcontractor agent,1
Ethics and Compliance,diligence,diligence,1
Security,officer,parson s or any parsons officer,1
Legal,properly,properly,1
Safety,center,center the,1
Legal,solicit,solicit,1
Safety,effective,and effective,1
Ethics and Compliance,corruption,corruption,1
Government Relations,engaged,engaged,1
Legal,paying,paying,1
Security,development,economic and social development and,1
Security,process,process,1
Legal,laundering,and money laundering legislation,1
Ethics and Compliance,conduct,conduct of parson s ',1
HR,director,director,1
Legal,applicable,applicable,1
Legal,extends,extends,1
Legal,takes,therefore takes a zero tolerance,1
Legal,decision,decision of,1
Security,current,current,1
Legal,official,official,1
Ethics and Compliance,duties,of their duties induce,1
Government Relations,contacts,political contacts,1
Legal,suspicious,suspicious transactions,1
Security,anti,anti corruption legislation bribery money laundering,1
Security,gifts,gifts,1
HR,directing,or directing,1
Security,authorize,authorize the,1
Legal,order,in order,1
Government Relations,agents,directors employees personnel agents intermediaries joint venture partners subcontractors consultants and any,1
Legal,payment,payment,1
Legal,regular,regular,1
