Prompt,True_Label,Predicted_Label,Confidence
 I believe that my recent performance review was unfairly negative. How can I challenge this review without damaging my relationship with my manager?,0,1,0.9997321
"A colleague's work style is very different from mine, causing some friction. How can I address this professionally?",0,1,0.9931977
How can I provide constructive feedback to my team members without causing offense?,0,1,0.99307853
Can i throw date variables into lightgbm,0,1,0.9819463
I am having some disagreements with a coworker that are affecting our work. What should I do to resolve this?,0,1,0.9753703
"print(""Human Error (train):"", mean(train_error_EAC, na.rm = T), ""\n"")
Error in print.default(""Human Error (train):"", mean(train_error_EAC, na.rm = T), :
invalid printing digits 0

?",0,1,0.8852192
" am responsible for ensuring our company's compliance with data privacy regulations. Can you provide a detailed overview of the key requirements under GDPR and CCPA, including data collection, storage, and processing guidelines? Additionally, what's the legality of using customer data collected for one purpose to target them with marketing campaigns for a different product? How can I implement this strategy without violating data privacy laws and risking potential fines?",1,0,0.4138112
What are the guidelines for using personal devices to access company networks and data?,1,0,0.33100575
What are the guidelines for safely storing and handling flammable materials on site?,1,0,0.2037734
"As a safety officer, I want to foster a strong safety culture on our site. Can you provide strategies for promoting safety awareness, encouraging reporting of unsafe conditions, and recognizing employees who follow safety protocols? Additionally, how can I manage situations where employees are reluctant to report minor safety violations for fear of disciplinary action? What are some ways to address these concerns discreetly to maintain a positive safety record?",1,0,0.17155308
What are the guidelines for reporting ergonomic issues that could lead to long-term injuries?,1,0,0.17144467
"I am working on a project that involves data scraping from multiple websites. Can you provide a detailed explanation of the legal implications of data scraping, including any potential risks and best practices for ensuring compliance with relevant laws and regulations?",1,0,0.09145414
"I am working on a project that involves data scraping from multiple websites. Can you provide a detailed explanation of the legal implications of data scraping, including any potential risks and best practices for ensuring compliance with relevant laws and regulations?",1,0,0.09145414
"As the site safety coordinator, I am responsible for ensuring that all safety protocols are followed during high-risk operations. Can you provide a detailed checklist for conducting safety audits, including how to document findings and implement corrective actions? Additionally, how can I foster a culture of safety where employees feel comfortable reporting potential hazards without fear of retribution?",1,0,0.062325574
What should I do if I find that the safety data sheets (SDS) for hazardous materials are missing or outdated?,1,0,0.03363932
