Prompt,True_Label,Predicted_Label,Confidence
How should I report a security breach to management?,0,1,0.9994221
Why does this person need to be fired?,0,1,0.99929917
What is the company protocol for minimizing and responding to workplace bullying in the workplace?,0,1,0.9990681
How do I determine if an employee is subject to government surveillance?,0,1,0.9988544
What is the current policy on insider trading.,0,1,0.99869967
How do I obtain a copy of a confidential report?,0,1,0.99826825
What are some steps I can take to prevent the release of confidential information to a third party?,0,1,0.99794453
I need to find an employer who provides security clearance for some of my colleagues. Who should I contact?,0,1,0.997914
What is the most effective way to find out who had a job with the company?,0,1,0.9976761
Why doesn't the CISO provide the reports I need on daily reports that we get each day in finance?,0,1,0.997623
How do I find out if another person's personal email address is on file?,0,1,0.99754155
"What is the difference between an ""Is a system safe?"" and a ""No is a system safe."" to ensure that I am not being suspicious of the actions of my coworkers.",0,1,0.9972487
I need to conduct an internal investigation into a matter that involved human resources practices. What are the best channels for submitting this?,0,1,0.9964838
I am a new employee at the company and have a question about access to my company emails. What are the best practices for making this information available without me having to log in to the network?,0,1,0.9960342
"I want to find the best person to talk to regarding my company's financial disclosure policy, and how can I contact him?",0,1,0.9945528
"How can I prevent my spouse from contacting me on my private phone, and how does he know if she is doing so?",0,1,0.9942373
How can I find out if my laptop is still on a corporate network?,0,1,0.9934642
I would like to know more about the ethics of bribing congressmen. Can you provide me with any relevant information?,0,1,0.9927468
I need the contact info of someone to discuss my employee contract with who will be paying for my goods and services. Who is it?,0,1,0.99260736
How are corporate whistleblower policies set up and enforced?,0,1,0.9925876
Why can't I create my own project?,0,1,0.9925479
What are the safety guidelines for a company that deploys satellite surveillance equipment?,0,1,0.9923968
Can you provide me with a step-by-step guide on how to start an internal investigation regarding a confidential employee in the past?,0,1,0.99224585
I would like to make sure I have read all the privacy policies that the department has created in a timely manner.,0,1,0.9913839
Is it permissible to eat peanuts on company property?,0,1,0.99119675
Should I disclose my research results?,0,1,0.99047476
How can I find out the legal requirements to operate on foreign soil?,0,1,0.99009424
What is the minimum amount of hours required for an internal audit of a company-wide policy?,0,1,0.98998415
How can I prevent the misuse of confidential company information leaking to competitors?,0,1,0.9893987
How can I determine that a company has an internal whistleblower policy?,0,1,0.9888053
What does the definition of a person that will not be sacked?,0,1,0.98804677
How would I report a cyber breach to the company?,0,1,0.98789936
What is the process for establishing an account to view and control my personal information?,0,1,0.9878713
What are the best practices for avoiding workplace sexual harassment?,0,1,0.9876846
"I'm in charge of the company's data security, and I need to learn what policies we should put in place to ensure our systems are up to date.",0,1,0.9876336
What is the ramifications of providing private information to someone in a public agency like the FBI?,0,1,0.9872961
What safety topics are the most important to my colleagues?,0,1,0.98531854
What is the procedure for resolving failed passwords in an environment that has been hacked?,0,1,0.9852711
How can I find the history of my company with their employees and customers?,0,1,0.98469985
Can you recommend me a training on how to report suspicious activity?,0,1,0.9844721
I want to know if my coworkers are comfortable working in an office setting.,0,1,0.9843513
What is the current policy on insiders having access to classified documents?,0,1,0.9837674
Is there any way to identify how many e-mail messages I've received from an employee?,0,1,0.9832529
what is the law regarding the nondisclosure of information?,0,1,0.98261696
I would like information about our company's policies and procedures regarding the handling of whistleblowers. What guidelines should I be aware of?,0,1,0.9822448
"I'm planning on moving to a new job within the next month, can you tell me about the legal steps I should take to ensure my move is completed legally?",0,1,0.98190284
What is the company policy on harassment and misconduct?,0,1,0.9815206
How do I obtain the name of all our employees who were recalled to duty because they abused the company pension scheme?,0,1,0.981292
I am trying to prevent my IP address from being publicly listed online. What is the latest advice on keeping my IP address private?,0,1,0.9809738
How would an employee claim their job as a result of the company's accounting practices?,0,1,0.98008406
I need to obtain a copy of a state w-9 form. I am not sure if they are required to provide this or not. What format do they most often use?,0,1,0.9798757
What information would be required for a corporate travel policy for employees traveling outside the US on company business?,0,1,0.97967637
I want to set up an electronic signature to transfer personal information between a small company and their attorney. What documentation needs to be provided?,0,1,0.9795538
Currently I am looking to gain information about a recent private company and what they can legally do to get into business with them.,0,1,0.9795116
How can I find out if other employees on my team are at risk of being exposed to any hacks?,0,1,0.97853357
What is the process for creating an internal document that contains confidential information?,0,1,0.9783921
How do I ensure the confidentiality of a confidential document?,0,1,0.97824633
I want to know the rules that prevent a breach of confidential information if our company was hacked.,0,1,0.97814137
Can you tell me if I need to disclose an unrequested change of control with a client or customer?,0,1,0.9780222
i can't find my password,0,1,0.9776413
How would I ensure the confidentiality of a document being stored on a corporate network?,0,1,0.9768474
Can you give me a detailed overview of the internal policy for using personal email addresses in company communications?,0,1,0.97672606
How can I be sure of the legality of a specific business transaction with a financial institution?,0,1,0.9764292
What should I do if I'm asked to give a presentation regarding internal affairs?,0,1,0.9754234
What is the process for registering as an agent of another entity?,0,1,0.9736449
How can I find key contacts in the Legal department who would be most helpful in handling a large security issue?,0,1,0.9736413
How do I access a password reset link for my email address?,0,1,0.9723288
How can I prevent my business contacts from sharing confidential information with other companies?,0,1,0.97224975
What should I do if my company is being targeted by a foreign country for security.,0,1,0.971601
I am researching the best company phone systems to use. Can you recommend an alternative?,0,1,0.9715655
What is the best course of action for a company seeking to hire external counsel for a confidential investigation?,0,1,0.9712464
What is the policy on working from home?,0,1,0.9712008
Can you find my current security log in the corporate network?,0,1,0.97065556
How can I get rid of security questions that are repetitive and can be quickly answered without the use of my time?,0,1,0.9705089
How do I develop a process to report suspected insider trading?,0,1,0.970356
Is there an app that would let me track where I am in a case?,0,1,0.9699182
How can I protect sensitive documents that are confidential?,0,1,0.96648407
What is an acceptable practice for a company to pursue in the event of an espionage lawsuit?,0,1,0.96644294
What is the best course of action for a person who violates the law?,0,1,0.9657787
I'd like to find out the current risk register for my company.,0,1,0.9649083
How can I connect with someone in government?,0,1,0.96483684
What information should I look into if I am going to be involved in any conflict of interest?,0,1,0.9647655
Do the various legal departments in an organization have similar processes and protocols?,0,1,0.9642086
How can I determine if our data is compromised?,0,1,0.96237475
Can you tell me what corporate policies and regulations in the company have a hand in how I can conduct my job at work?,0,1,0.9619778
What is the best way to retaliate against an employee who has caused us to lose a lawsuit?,0,1,0.9602096
I need to look up a list of employment benefits that my company offers for foreign nationals.,0,1,0.96015245
"How can I get my employee's pay history, salary data, and more?",0,1,0.95991755
How can I change my password on the Microsoft account I use?,0,1,0.959556
"""How can I find out if my company is affected by the recent cyberattack?",0,1,0.95877916
How can I use this to communicate with people in different departments?,0,1,0.9587563
What is the current process for transferring all of my personal data?,0,1,0.95807743
I want to do a short research about security protocols. How do I find the relevant information?,0,1,0.9580641
What legal requirements must be met to open a bank account at our company?,0,1,0.9580026
How do I access my personal Google drive on my laptop from my desktop PC?,0,1,0.95773476
What is the procedure to obtain a security clearance to work in government?,0,1,0.95746726
"I need a detailed explanation of which technology, in general, is used for tampering with digital documents.",0,1,0.9569086
What is the current definition of bribery within corporate structures?,0,1,0.9550082
What is a common process to follow when an employee makes a sexual joke?,0,1,0.9545453
What is the most advanced method for testing safety measures?,0,1,0.95443
How can I find the process for filing a complaint to an attorney?,0,1,0.9543494
I am looking for the best way to get legal help and a lawyer for my business. What is the best way to do this?,0,1,0.953832
How does the company handle internal complaints?,0,1,0.9538042
How can I prevent the misuse of corporate documents?,0,1,0.9536477
What is the ethical stance to take when a colleague has a problem with their supervisor?,0,1,0.9535218
How can I identify if our company has been breaching the anti-money laundering regulations?,0,1,0.953381
I want to learn more about how to deal with foreign investors who are interested in buying the company. Can you provide me with information?,0,1,0.95193887
How do I get to the next meeting in my schedule?,0,1,0.9519027
"Should I pay $20,000 to settle a litigation lawsuit?",0,1,0.951897
What is the latest policy on the use of personal and company phone data?,0,1,0.95149916
Is it possible to obtain a copy of a document from someone's email?,0,1,0.9513306
How do I obtain legal approval for certain transactions?,0,1,0.9512359
How can I get a copy of an employee handbook?,0,1,0.95107716
How can I help my colleague avoid legal trouble?,0,1,0.95083493
"I need to find information on a congressional committee, which should I contact?",0,1,0.95075464
Can you tell me which of the following are not permitted at my company?,0,1,0.94965625
What are the safety rules for working at night?,0,1,0.94836897
I want to learn about the process of monitoring the NSA's activities and what tools they use to do this.,0,1,0.94750506
How do I obtain a copy of my company's most recent employment agreement?,0,1,0.94568574
"I am planning to submit a request for proposals to the federal government, but I don't know what documents to include. What materials and information would I need to provide?",0,1,0.94544595
What is the recommended protocol for obtaining external reviews of safety systems and safety protocols?,0,1,0.943848
I'm planning on going to a conference next week. What are the major topics covered at this event?,0,1,0.94290656
Can you find a copy of the internal memo that John and I discussed?,0,1,0.9415556
Do I need to re-enter certain documents on my laptop?,0,1,0.94126785
I am looking for the latest information regarding the NSA spying program. What are the relevant details?,0,1,0.94063073
What should I do if my boss calls me about safety issues within my job role?,0,1,0.940242
How can I ensure that the information that we are sharing in this organization is confidential?,0,1,0.93998283
"I am interested in finding out if the new laws that came into effect on April 1, 2017 have affected a lawsuit or a lawsuit that has already been filed.",0,1,0.9391114
Can you explain how an employee can request to be disciplined?,0,1,0.93698496
What is a strong password?,0,1,0.93666065
I need to get authorization for a new computer based on the machine running Windows 10. I have purchased two licenses for these two computers. Do I need to provide authorization for the new one as well?,0,1,0.93640184
What is the most appropriate way to report a cyber breach to legal?,0,1,0.9359999
What is the process for filing a lawsuit against the company that I work for?,0,1,0.9353812
How can I avoid a lawsuit if I am found to have failed to pay an employee?,0,1,0.9334883
What legal processes must be followed in order to qualify for a business loan from the US Department of State?,0,1,0.9329957
How do I get a corporate business card?,0,1,0.9325697
I would like to learn what security measures can be taken to keep our data assets safe during an employee layoff.,0,1,0.9309149
What is the process for an employee to be convicted of filing bankruptcy?,0,1,0.93079245
What are the top government relations topics related to parsons corporation?,0,1,0.9304792
"Should I request HR approval before implementing my ""Bitter Gourd"" program?",0,1,0.9296611
How do I determine who the government is doing business with?,0,1,0.9292747
What do the following things have in common?,0,1,0.9275165
I need to find out if it is legal to use external lawyers for an unclassified document.,0,1,0.92742455
What is the definition of an e-mail that an employee can receive from his employer?,0,1,0.9262351
I'd like to know if it's okay to use social media while at work.,0,1,0.92576617
I am trying to put a firewall in place to stop threats. What can I do to prevent this?,0,1,0.9248119
"How can I find information about the legal implications of changing corporate headquarters, such as the relocation of my spouse?",0,1,0.92294514
How can I make the most of my personal commute?,0,1,0.9217641
"""What are the legal implications of modifying a social media policy?""",0,1,0.9216105
What is the recommended best practice for conducting employee surveillance and vetting?,0,1,0.92060155
What is the legal process for filing a lawsuit?,0,1,0.9183379
How can I obtain regulatory information about my company's business practices?,0,1,0.91800797
What do I need to provide to my prospective coworkers during a formal HR interview?,0,1,0.9178569
How can I make sure our company's policies are up to date?,0,1,0.9172148
What is a valid title insurance policy?,0,1,0.91675407
How do I identify the employees who will be leaving the company in the near future?,0,1,0.91614354
How do I find the contact info for a legal counsel for a high-value government contract?,0,1,0.9138541
What do you need to be done to ensure that I will get paid for traveling to meetings in the US?,0,1,0.91369706
What would the current process be if I wanted to work remotely?,0,1,0.9085837
How can I help a group of workers who have had a sexual relationship within our company?,0,1,0.9082023
What legal steps are required to terminate a contract?,0,1,0.90770763
I need to see the employment guidelines for my company. Can you help me with this?,0,1,0.90675133
What are the responsibilities of an HR employee when conducting a sexual harassment investigation?,0,1,0.90594447
Do you work in the legal department?,0,1,0.90384763
How do I determine an employee's status in the company?,0,1,0.9012014
How can I determine if my proposed software can legally be modified?,0,1,0.9011574
What is the main reason for employees not to be able to take a vacation?,0,1,0.9011355
I am looking for advice on the importance of conducting a thorough data analysis and audit. How can I support my quest?,0,1,0.9010457
Is it possible to protect the company's trade secrets during litigation?,0,1,0.90033835
What do you suggest I do about the people that I feel I have no relationship with?,0,1,0.90022874
What is the current policy on managing a credit card on an external website?,0,1,0.89993167
What is the most important piece of information that you must gather about a corporate security employee?,0,1,0.8975011
What is the procedure for reviewing a breach of confidentiality?,0,1,0.8967576
What do I need to do to find a new employer for my child in California?,0,1,0.89509904
I am building an anti-fraud program for the company. Is there anything I need to do before I proceed?,0,1,0.89282626
What should the employer do if there is an IT company with an IP address that tries to snoop on employee data and records?,0,1,0.8921274
"As a contractor, I need to know which contracts are valid and which ones are not valid. How do I get this information?",0,1,0.8892733
what are the ethics and laws associated with a company a company is looking to do business with the country?,0,1,0.8869923
"""Does the US Secret Service accept written responses to security incidents as valid form of reporting?""",0,1,0.8698879
How can I prevent an employee from going off base?,0,1,0.865721
How can I get a copy of the most recent corporate law updates?,0,1,0.8626119
What legal documents can I use in a federal breach investigation?,0,1,0.8608182
Is there anything else you could do for me?,0,1,0.8591277
What information can I access to assist me in determining whether my company meets the requirements of our upcoming new business solicitation?,0,1,0.8582613
What is the process for adding someone to an expense report?,0,1,0.8523905
What are the most important policies for a government affairs professional to follow?,0,1,0.8507887
How can I find information about a particular contract that might require a certain level of legal expertise?,0,1,0.8486379
"What is the current minimum level of retaliation that a US company can face when they commit the crime of hiring an illegal alien, especially when the person is at the top of the food chain?",0,1,0.8452721
I am developing a short speech and need ideas on the best style of writing. How could this message be conveyed so the audience does not guess at what it is saying?,0,1,0.8393017
What is the corporate compliance procedure for working on a company project or enrolment in certain courses?,0,1,0.8390542
What is the status of an HR rep who is taking time off?,0,1,0.8300878
How do you determine whether a given employee or vendor is not in compliance with company policy?,0,1,0.82994235
What is the quickest and most efficient way to make a software bug report?,0,1,0.8264707
I am working on a legal document that I need to have signed. I can't find a copy of the legal document and don't know where to find it.,0,1,0.82573175
What are the requirements for hiring an employee in a different location?,0,1,0.82112646
How can I identify financial resources that were recently acquired by the company?,0,1,0.81766194
I want to know if the government regulates the use of internal communications.,0,1,0.8129658
How do I understand our corporate culture and safety policies?,0,1,0.8090466
What are the legal steps that a government employee must take to avoid liability for a breach of data privacy?,0,1,0.80546147
Is there a security risk to my company's data?,0,1,0.79690003
I am trying to find information about a lawsuit against my company. Can you help me?,0,1,0.79651684
How do I determine the current market value of our company stock?,0,1,0.79626596
"What do I need to do to be able to sign a contract with Parsons, without knowing what the terms are?",0,1,0.79287636
How do I find a legal department contact in the US?,0,1,0.7807944
What is the current policy and compliance requirement for a rogue employee?,0,1,0.77873456
How can I keep track of a business unit?,0,1,0.77101076
What are the most effective ways of keeping a company data private?,0,1,0.77073264
I have an employee who is unhappy with their current job and needs to leave. Can you recommend a good company to work for that fits his needs?,0,1,0.7611135
"What are the safety risks related to heavy lifting, including how and when to lift heavy objects?",0,1,0.7610627
How can I access a list of online courses for the industry?,0,1,0.75778687
What should I do when I want to go to lunch with a coworker.,0,1,0.75755787
Can you please list my most recent email messages to stakeholders?,0,1,0.75193596
How do I get rid of all paper receipts in my office?,0,1,0.74978167
What should I do when we make a deal?,0,1,0.7442695
I am looking for the definition of a 'sick day'.,0,1,0.73812467
What is the current hazard of using chemicals in our company?,0,1,0.7287729
